KodPracownika;Data_DD.MM.YY.;Data_HH:MM:SS;GodzinaWejscia;GodzinaWyjscia
450;02.02.2021 00:00:00;07:49:59;15:49:59;
450;04.02.2021 00:00:00;07:53:49;15:53:49;
450;05.02.2021 00:00:00;07:46:05;15:46:05;
450;08.02.2021 00:00:00;07:43:58;15:43:58;
450;10.02.2021 00:00:00;07:46:42;15:46:42;
450;11.02.2021 00:00:00;07:42:02;15:42:02;
450;12.02.2021 00:00:00;07:45:36;15:45:36;
450;15.02.2021 00:00:00;07:48:35;15:07:34;
450;16.02.2021 00:00:00;08:37:04;16:36:55;
450;17.02.2021 00:00:00;07:48:54;15:48:54;
450;18.02.2021 00:00:00;07:49:48;15:49:48;
450;19.02.2021 00:00:00;07:52:52;15:52:52;
450;22.02.2021 00:00:00;07:55:34;15:55:34;
450;23.02.2021 00:00:00;07:55:40;15:55:40;
450;24.02.2021 00:00:00;07:37:56;15:37:56;
450;25.02.2021 00:00:00;07:41:09;15:41:09;
450;26.02.2021 00:00:00;07:42:48;15:42:48;
900;01.02.2021 00:00:00;07:34:18;15:34:18;
900;02.02.2021 00:00:00;07:47:15;15:47:15;
900;12.02.2021 00:00:00;07:41:21;15:30:38;
900;13.02.2021 00:00:00;08:00:00;13:00:00;
900;15.02.2021 00:00:00;07:30:00;15:30:00;
900;16.02.2021 00:00:00;07:30:00;15:30:00;
900;17.02.2021 00:00:00;07:30:00;19:00:00;
900;18.02.2021 00:00:00;07:30:00;17:00:00;
900;19.02.2021 00:00:00;07:30:00;19:00:00;
900;22.02.2021 00:00:00;07:31:03;15:31:03;
900;24.02.2021 00:00:00;07:39:10;16:51:21;
900;26.02.2021 00:00:00;08:00:51;15:30:03;
477;01.02.2021 00:00:00;07:35:06;16:10:17;
477;02.02.2021 00:00:00;07:11:13;16:06:27;
477;03.02.2021 00:00:00;07:22:53;16:15:20;
477;04.02.2021 00:00:00;07:38:11;16:24:53;
477;05.02.2021 00:00:00;07:37:55;16:10:50;
477;08.02.2021 00:00:00;07:24:13;16:23:56;
477;09.02.2021 00:00:00;07:12:40;16:14:53;
477;10.02.2021 00:00:00;07:36:32;16:28:54;
477;15.02.2021 00:00:00;07:05:51;16:04:18;
477;16.02.2021 00:00:00;07:21:11;16:20:23;
477;17.02.2021 00:00:00;07:37:46;16:10:21;
477;18.02.2021 00:00:00;07:41:58;15:41:58;
477;19.02.2021 00:00:00;07:24:32;16:10:47;
477;22.02.2021 00:00:00;07:24:18;16:01:36;
477;23.02.2021 00:00:00;07:32:20;16:27:12;
477;24.02.2021 00:00:00;07:04:09;16:28:35;
477;25.02.2021 00:00:00;07:36:33;15:36:33;
477;26.02.2021 00:00:00;08:00:00;16:00:00;
128;02.02.2021 00:00:00;06:00:00;14:00:00;
128;03.02.2021 00:00:00;06:00:00;14:00:00;
128;04.02.2021 00:00:00;06:00:00;14:00:00;
128;05.02.2021 00:00:00;06:00:00;14:00:00;
128;06.02.2021 00:00:00;06:00:00;14:00:00;
128;08.02.2021 00:00:00;22:00:00;06:00:00;
128;09.02.2021 00:00:00;22:00:00;06:00:00;
128;10.02.2021 00:00:00;22:00:00;06:00:00;
128;11.02.2021 00:00:00;22:00:00;06:00:00;
128;12.02.2021 00:00:00;22:00:00;06:00:00;
128;15.02.2021 00:00:00;14:00:00;22:00:00;
128;16.02.2021 00:00:00;14:00:00;22:00:00;
128;17.02.2021 00:00:00;14:00:00;22:00:00;
128;18.02.2021 00:00:00;14:00:00;22:00:00;
128;22.02.2021 00:00:00;06:00:00;14:00:00;
128;23.02.2021 00:00:00;06:00:00;14:00:00;
128;25.02.2021 00:00:00;06:00:00;14:00:00;
128;26.02.2021 00:00:00;06:00:00;14:00:00;
128;27.02.2021 00:00:00;06:00:00;14:00:00;
1011;01.02.2021 00:00:00;06:00:00;14:00:00;
1011;02.02.2021 00:00:00;06:00:00;14:00:00;
1011;04.02.2021 00:00:00;06:00:00;14:00:00;
1011;05.02.2021 00:00:00;06:00:00;14:00:00;
1011;08.02.2021 00:00:00;22:00:00;06:00:00;
1011;09.02.2021 00:00:00;22:00:00;06:00:00;
1011;10.02.2021 00:00:00;22:00:00;06:00:00;
1011;11.02.2021 00:00:00;22:00:00;06:00:00;
1011;12.02.2021 00:00:00;22:00:00;06:00:00;
1011;15.02.2021 00:00:00;14:00:00;22:00:00;
1011;16.02.2021 00:00:00;14:00:00;22:00:00;
1011;17.02.2021 00:00:00;14:00:00;22:00:00;
1011;18.02.2021 00:00:00;14:00:00;22:00:00;
1011;19.02.2021 00:00:00;14:00:00;22:00:00;
1011;22.02.2021 00:00:00;06:00:00;14:00:00;
1011;23.02.2021 00:00:00;06:00:00;14:00:00;
1011;24.02.2021 00:00:00;06:00:00;14:00:00;
1011;25.02.2021 00:00:00;06:00:00;14:00:00;
1400;01.02.2021 00:00:00;14:00:00;22:00:00;
1400;02.02.2021 00:00:00;14:00:00;22:00:00;
1400;03.02.2021 00:00:00;14:00:00;22:00:00;
1400;04.02.2021 00:00:00;14:00:00;22:00:00;
1400;05.02.2021 00:00:00;14:00:00;22:00:00;
1400;08.02.2021 00:00:00;06:00:00;14:00:00;
1400;09.02.2021 00:00:00;06:00:00;14:00:00;
1400;10.02.2021 00:00:00;06:00:00;14:00:00;
1400;11.02.2021 00:00:00;06:00:00;14:00:00;
1400;15.02.2021 00:00:00;22:00:00;06:00:00;
1400;16.02.2021 00:00:00;22:00:00;06:00:00;
1400;17.02.2021 00:00:00;22:00:00;06:00:00;
1400;18.02.2021 00:00:00;22:00:00;06:00:00;
1400;19.02.2021 00:00:00;22:00:00;06:00:00;
1400;22.02.2021 00:00:00;14:00:00;22:00:00;
1400;23.02.2021 00:00:00;14:00:00;22:00:00;
1400;24.02.2021 00:00:00;14:00:00;22:00:00;
1400;25.02.2021 00:00:00;14:00:00;22:00:00;
1400;26.02.2021 00:00:00;14:00:00;22:00:00;
1661;01.02.2021 00:00:00;14:00:00;22:00:00;
1661;02.02.2021 00:00:00;14:00:00;22:00:00;
1661;03.02.2021 00:00:00;14:00:00;22:00:00;
1661;04.02.2021 00:00:00;14:00:00;22:00:00;
1661;05.02.2021 00:00:00;14:00:00;22:00:00;
1661;08.02.2021 00:00:00;06:00:00;14:00:00;
1661;09.02.2021 00:00:00;06:00:00;14:00:00;
1661;10.02.2021 00:00:00;06:00:00;14:00:00;
1661;11.02.2021 00:00:00;06:00:00;14:00:00;
1661;12.02.2021 00:00:00;06:00:00;14:00:00;
1661;15.02.2021 00:00:00;22:00:00;06:00:00;
1661;16.02.2021 00:00:00;22:00:00;06:00:00;
1661;17.02.2021 00:00:00;22:00:00;06:00:00;
1661;18.02.2021 00:00:00;22:00:00;06:00:00;
1661;19.02.2021 00:00:00;22:00:00;06:00:00;
1661;22.02.2021 00:00:00;14:00:00;22:00:00;
1661;23.02.2021 00:00:00;14:00:00;22:00:00;
1661;24.02.2021 00:00:00;14:00:00;22:00:00;
1661;25.02.2021 00:00:00;14:00:00;22:00:00;
1661;26.02.2021 00:00:00;14:00:00;22:00:00;
508;02.02.2021 00:00:00;22:00:00;06:00:00;
508;03.02.2021 00:00:00;22:00:00;06:00:19;
508;04.02.2021 00:00:00;22:00:00;06:00:00;
508;05.02.2021 00:00:00;22:00:00;06:00:00;
508;08.02.2021 00:00:00;14:00:00;22:00:00;
508;09.02.2021 00:00:00;14:00:00;22:00:00;
508;10.02.2021 00:00:00;14:00:00;23:35:11;
508;11.02.2021 00:00:00;14:00:00;22:00:00;
508;15.02.2021 00:00:00;06:00:00;14:00:00;
508;16.02.2021 00:00:00;06:00:00;14:00:00;
508;17.02.2021 00:00:00;06:00:00;14:00:00;
508;18.02.2021 00:00:00;06:00:00;14:00:00;
508;19.02.2021 00:00:00;06:00:00;14:00:00;
508;22.02.2021 00:00:00;22:00:00;06:00:00;
508;23.02.2021 00:00:00;22:00:00;06:00:00;
508;24.02.2021 00:00:00;22:00:00;06:00:00;
1181;03.02.2021 00:00:00;10:32:27;12:12:24;
1181;05.02.2021 00:00:00;14:01:15;18:04:11;
1181;08.02.2021 00:00:00;07:57:11;13:30:11;
1181;09.02.2021 00:00:00;07:20:53;17:38:02;
1181;10.02.2021 00:00:00;08:18:33;15:12:06;
1181;11.02.2021 00:00:00;05:30:00;15:15:17;
